date,stock_id,trade_volume,trade_value,transaction_count,source_url,source_month
2026-08-03,2317,52666207,13128239101,43086,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-04,2317,41095656,10291326035,40377,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-05,2317,72633762,18765599956,59395,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-06,2317,82178728,21570563960,69628,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-07,2317,38813488,10147169859,69620,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-10,2317,34854398,9214462439,35990,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-11,2317,24592444,6470373444,23177,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-12,2317,60316168,16213151171,58017,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-13,2317,96829809,25629947138,112295,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-14,2317,51013887,13278246549,55960,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-17,2317,35551968,9136204669,42529,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-18,2317,50539577,12658290499,65356,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-19,2317,36592747,8966089121,44057,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-20,2317,26344428,6492076639,22020,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-21,2317,25420299,6227298637,25510,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-24,2317,23690554,5791846854,24915,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-25,2317,36819297,8851266129,42817,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-26,2317,24910439,6110716235,25675,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
